,,url,location,location extra,text,title,languageCode,publisher.name,publisher.site,reviewDate,claimDate,claimant,claimant_canonical_name,claimant_party,textualRating,reason,ratingsimp,T/F RQ1,is_politician_strict,rand_num
,3419,https://www.politifact.com/factchecks/2019/apr/22/eric-swalwell/did-republicans-rush-repeal-gun-control-law-mental/,Speech/Remarks,Campaign,In 2017; the first piece of legislation that Republicans passed 'made it easier for the mentally ill to purchase guns.',Did Republicans rush to repeal law preventing the mentally ill from buying guns in 2017?,en,PolitiFact,politifact.com,2019-04-22T13:57:01Z,2019-04-14T00:00:00Z,Eric Swalwell,Eric Swalwell,Democratic,Half True,,4 Half True,True)ish,TRUE,2349
,5702,https://www.politifact.com/factchecks/2019/jul/11/cory-booker/more-arrests-us-marijuana-possession-violent-crime/,TV Appearance,Regional Station,In 2017; we had more marijuana possession arrests in our country than all other violent crimes combined.',More arrests in the US for marijuana possession than violent crimes; 2020 hopeful Cory Booker says,en,PolitiFact,politifact.com,,2019-07-05T00:00:00Z,Cory Booker,Cory Booker,Democratic,TRUE,,6 True,True)ish,TRUE,310
,7276,https://www.politifact.com/factchecks/2020/jan/09/bernie-sanders/did-biden-laud-paul-ryan-proposal-cut-social-secur/,Written Statement,Campaign,In 2018; Biden lauded Paul Ryan for proposing cuts to Social Security and Medicare.',Did Biden laud a Paul Ryan proposal to cut Social Security as Bernie Sanders' campaign said?,en,PolitiFact,politifact.com,,2020-01-07T00:00:00Z,Bernie Sanders,Bernie Sanders,Democratic,FALSE,,2 False,False(ish),TRUE,1311
,5260,https://www.politifact.com/factchecks/2019/feb/11/alcee-hastings/was-there-one-school-shooting-week-2018-florida-la/,Written Statement,,In 2018; we endured a school shooting nearly once a week.',Was there one school shooting a week in 2018; as a Florida lawmaker said?,en,PolitiFact,politifact.com,2019-02-11T21:59:47Z,2019-02-05T00:00:00Z,Alcee Hastings,Alcee Hastings,Democratic,Half True,,4 Half True,True)ish,TRUE,2342
,499,https://www.politifact.com/factchecks/2019/jun/24/beto-orourke/beto-orourke-target-about-scale-democratic-surge-t/,TV Appearance,CBS,In 2018; when he ran for senator; 'young voter turnout in early voting was up 500%. We won more votes than any Democrat has in the history of the state of Texas.',Beto O'Rourke on target about scale of Democratic surge in Texas in 2018,en,PolitiFact,politifact.com,,2019-06-13T00:00:00Z,Beto O'Rourke,Beto O'Rourke,Democratic,TRUE,,6 True,True)ish,TRUE,2108
,1763,https://www.politifact.com/factchecks/2020/dec/04/chris-larson/yes-gop-did-oppose-40-million-lead-pipe-replacemen/,Social Media,Twitter,In 2019; Republicans stripped $40 million from the budget for lead pipe replacement - because they thought it helped MKE too much.',Yes; GOP did oppose $40 million for lead pipe replacement because it helped Milwaukee too much,en,PolitiFact,politifact.com,,2020-10-26T00:00:00Z,Chris Larson,Chris Larson,Democratic,Mostly True,,5 Mostly True,True)ish,TRUE,1099
,1963,http://www.politifact.com/factchecks/2016/oct/14/roy-cooper/roy-cooper-says-pat-mccrory-raised-taxes-middle-cl/,Debate,Unspecified Debate,In 67 different ways; Governor McCrory has raised taxes on middle income families.',Roy Cooper says Pat McCrory raised taxes on the middle class 'in 67 different ways',en,PolitiFact,politifact.com,2016-10-14T22:28:30Z,2016-10-11T00:00:00Z,Roy Cooper,Roy Cooper,Democratic,Half True,,4 Half True,True)ish,TRUE,1034
,2232,https://www.politifact.com/factchecks/2018/jul/25/kamala-harris/housing-unaffordable-full-time-minimum-wage-worker/,Social Media,Twitter,In 99% of counties in America; someone making the minimum wage working full time can’t afford a 1-bedroom apartment.',Is housing unaffordable for full-time minimum-wage workers in 99 percent of counties in America?,en,PolitiFact,politifact.com,2018-07-25T22:06:44Z,2018-07-19T00:00:00Z,Kamala Harris,Kamala Harris,Democratic,Mostly True,,5 Mostly True,True)ish,TRUE,1743
,4901,http://www.politifact.com/factchecks/2017/dec/06/doug-jones/jones-ad-wrongly-attacks-moore-sex-crime-case/,Advertisement,,In a 2014 case involving a man convicted of abusing two underage girls; Judge Roy Moore disagreed and wrote the dissenting opinion.',Doug Jones launches misleading attack ad about Roy Moore's court record on sex crime cases,en,PolitiFact,politifact.com,2017-12-06T23:02:28Z,2017-11-30T00:00:00Z,Doug Jones,Doug Jones (politician),Democratic,Mostly False,,3 Mostly False,False(ish),TRUE,1293
,324,https://www.politifact.com/factchecks/2021/mar/29/alex-padilla/it-easier-obtain-rifle-register-vote-alex-padilla-/,Speech/Remarks,Unspecified,In a majority of states; new voters are able to obtain a rifle quicker than they’re able to cast their first ballot.',In majority of states; it's faster to obtain a rifle than to register to vote,en,PolitiFact,politifact.com,,2021-03-22T00:00:00Z,Alex Padilla,Alex Padilla,Democratic,Mostly True,,5 Mostly True,True)ish,TRUE,2146
,1496,https://www.politifact.com/factchecks/2020/jun/16/mike-pence/has-oklahoma-flattened-curve-mike-pence-said/,Debate,Unspecified Debate,In a very real sense; (Oklahoma has) flattened the curve. ... The number of cases in Oklahoma — it's declined precipitously.',VP Mike Pence says Oklahoma flattened the COVID-19 curve. That's False,en,PolitiFact,politifact.com,,2020-06-15T00:00:00Z,Mike Pence,Mike Pence,Republican,FALSE,,2 False,False(ish),TRUE,233
,2343,http://www.politifact.com/factchecks/2011/dec/20/newt-gingrich/newt-gingrich-says-supreme-court-crossed-major-thr/,TV Appearance,CBS,In a watershed 1958 decision; 'the Warren court asserted by itself that the Supreme Court was supreme over the president and the Congress.',Newt Gingrich says Supreme Court crossed major threshold with 1958 case,en,PolitiFact,politifact.com,2016-07-15T16:22:07Z,2011-12-18T00:00:00Z,Newt Gingrich,Newt Gingrich,Republican,Mostly False,,3 Mostly False,False(ish),TRUE,1703
,2086,http://www.politifact.com/factchecks/2016/oct/18/marco-rubio/marco-rubio-misleads-about-floridians-who-will-los/,Debate,Election Debate,In about three weeks over a half million Floridians are going to lose their coverage again' through Obamacare.,Marco Rubio misleads about Floridians who will 'lose' insurance through Obamacare,en,PolitiFact,politifact.com,2016-10-18T20:58:57Z,2016-10-17T00:00:00Z,Marco Rubio,Marco Rubio,Republican,Half True,,4 Half True,True)ish,TRUE,2008
,5954,https://www.politifact.com/factchecks/2019/may/23/kamala-harris/colbert-kamala-harris-flubs-wage-gap-statistic/,TV Appearance,CBS,In America today; women on average are paid 80 cents on the dollar of what men are paid for the same work.',On Colbert; Kamala Harris flubs wage gap statistic,en,PolitiFact,politifact.com,2019-05-23T20:21:05Z,2019-05-22T00:00:00Z,Kamala Harris,Kamala Harris,Democratic,Mostly False,,3 Mostly False,False(ish),TRUE,714
,4485,http://www.politifact.com/factchecks/2016/jun/15/marco-rubio/marco-rubio-says-after-orlando-shooting-radical-sp/,Interview,,In America; radical speech is not a crime.',Marco Rubio says after Orlando shooting that 'radical speech is not a crime',en,PolitiFact,politifact.com,2016-06-20T01:25:10Z,2016-06-13T00:00:00Z,Marco Rubio,Marco Rubio,Republican,Mostly True,,5 Mostly True,True)ish,TRUE,27
,4848,https://www.politifact.com/factchecks/2019/nov/21/kamala-harris/kamala-harris-claim-about-typical-dad-paying-more-/,Advertisement,,In America; there is a father who is holding down two jobs and paying more taxes than the richest 400 families in America.',Kamala Harris' claim about typical dad paying higher taxes than 400 richest families is Mostly False,en,PolitiFact,politifact.com,,2019-11-14T00:00:00Z,Kamala Harris,Kamala Harris,Democratic,Mostly False,,3 Mostly False,False(ish),TRUE,730
,7285,http://www.politifact.com/factchecks/2018/jan/18/cory-booker/fact-checking-cory-bookers-statistic-attacks-white/,TV Appearance,CNN,In American history since 9/11; we've had 85 major attacks in our country; 73 percent of them have been by white nationalist hate groups.',Fact-checking Cory Booker's statistic on attacks by white nationalist hate groups,en,PolitiFact,politifact.com,2018-01-18T15:17:26Z,2018-01-16T00:00:00Z,Cory Booker,Cory Booker,Democratic,Half True,,4 Half True,True)ish,TRUE,2364
,4934,http://www.politifact.com/factchecks/2017/dec/21/ivanka-trump/ivanka-trump-wrong-april-vast-majority-will-be-fil/,TV Appearance,FOX,In April; 'the vast majority will be (filling out their taxes) on a single postcard.',Ivanka Trump wrong that in April; 'vast majority' will be filing their taxes on a 'postcard',en,PolitiFact,politifact.com,2017-12-21T22:23:13Z,2017-12-21T00:00:00Z,Ivanka Trump,Ivanka Trump,Republican,FALSE,,2 False,False(ish),FALSE,1849
,6125,http://www.politifact.com/factchecks/2016/dec/16/kirk-watson/kirk-watson-says-average-austin-homeowner-pays-130/,Debate,Unspecified Debate,In Austin; Texas; the average homeowner is paying about $1;300 to $1;400 just for recapture;' meaning funds spent in non-Austin school districts.,Kirk Watson says average Austin homeowner pays $1;300 to $1;400 that goes to other school districts,en,PolitiFact,politifact.com,2016-12-16T23:31:54Z,2016-11-29T00:00:00Z,Kirk Watson,Kirk Watson,Democratic,TRUE,,6 True,True)ish,TRUE,207
,1197,https://www.politifact.com/factchecks/2019/aug/19/matt-gaetz/fact-checking-matt-gaetz-gun-bans-australia-and-ve/,TV Appearance,FOX,In Australia 'they went and confiscated all the guns. You know who did what Australia did? Venezuela.',Fact-checking Matt Gaetz on gun bans in Australia and Venezuela,en,PolitiFact,politifact.com,,2019-08-10T00:00:00Z,Matt Gaetz,Matt Gaetz,Republican,Mostly False,,3 Mostly False,False(ish),TRUE,1407
,2118,https://www.politifact.com/factchecks/2019/dec/06/arnold-schwarzenegger/more-jobs-solar-oil-bakersfield-arnold-schwarzeneg/,TV Appearance,NBC,In Bakersfield; where there’s a lot of oil drilling going on; there’s more solar jobs now in Bakersfield and around that area than there are oil jobs.',Bakersfield has far more jobs in oil than solar; despite Schwarzenegger's false claim,en,PolitiFact,politifact.com,,2019-12-01T00:00:00Z,Arnold Schwarzenegger,Arnold Schwarzenegger,Republican,FALSE,,2 False,False(ish),TRUE,322
,736,https://www.politifact.com/factchecks/2019/feb/22/bernie-sanders/sanders-skips-canada-out-pocket-health/,TV Appearance,CBS,In Canada; for a number of decades; they have provided quality care to all people without out-of-pocket expenses. You go in for cancer therapy; you don't take out your wallet.',Bernie Sanders overplays Canada's out-of-pocket health care costs,en,PolitiFact,politifact.com,2019-02-22T17:00:18Z,2019-02-19T00:00:00Z,Bernie Sanders,Bernie Sanders,Democratic,Half True,,4 Half True,True)ish,TRUE,2429
,1172,http://www.politifact.com/factchecks/2016/aug/22/tim-kaine/tim-kaine-correct-about-how-poorly-us-fares-percen/,Speech/Remarks,Campaign,In Congress right now; we're doing the best job we have ever done in women in the federal legislature;' but it’s still only '19 percent.',Tim Kaine correct about how poorly US fares in percentage of women lawmakers,en,PolitiFact,politifact.com,2016-08-22T22:20:38Z,2016-08-16T00:00:00Z,Tim Kaine,Tim Kaine,Democratic,TRUE,,6 True,True)ish,TRUE,592
,3617,http://www.politifact.com/factchecks/2017/apr/28/mark-pocan/congress-democrats-have-women-and-minorities-repub/,Interview,,In Congress; 'on the Democratic side of the room; you’ve got men and women of all different races; on the other side; you’ve got a bunch of white men in dark suits; all over 55 or so.',Diversity in Congress: Democrats have women and minorities; Republicans have white men over 55?,en,PolitiFact,politifact.com,2017-04-28T17:29:55Z,2017-04-07T00:00:00Z,Mark Pocan,Mark Pocan,Democratic,Mostly True,,5 Mostly True,True)ish,TRUE,708
,5177,http://www.politifact.com/factchecks/2018/apr/18/evan-jenkins/what-role-did-patrick-morrisey-have-writing-health/,Advertisement,,In Congress; (Patrick) Morrisey wrote the health care law giving free health care to illegals.',Did Patrick Morrisey write a health care law for 'illegals'?,en,PolitiFact,politifact.com,2018-04-18T15:20:00Z,2018-04-09T00:00:00Z,Evan Jenkins,Evan Jenkins (politician),Republican,Mostly False,,3 Mostly False,False(ish),FALSE,1545
,4412,http://www.politifact.com/factchecks/2018/jan/12/gwen-graham/did-ron-desantis-cast-deciding-vote-against-legisl/,Social Media,Twitter,In Congress; @RonDeSantisFL was the DECIDING vote AGAINST our state's right to protect Florida waters from drilling.',Was Ron DeSantis the 'deciding' vote against the state's right to protect Florida's coast?,en,PolitiFact,politifact.com,2018-01-12T16:02:04Z,2018-01-04T00:00:00Z,Gwen Graham,Gwen Graham,Democratic,Half True,,4 Half True,True)ish,TRUE,764
,4313,https://www.politifact.com/factchecks/2018/oct/18/andrew-gillum/fact-checking-attack-ron-desantis-about-pre-existi/,Advertisement,,In Congress; Ron DeSantis demanded that any new health law eliminate protections for people with pre-existing conditions.',Fact-checking an attack on Ron DeSantis about pre-existing conditions and Affordable Care Act,en,PolitiFact,politifact.com,2018-10-18T16:58:51Z,2018-09-26T00:00:00Z,Andrew Gillum,Andrew Gillum,Democratic,Half True,,4 Half True,True)ish,TRUE,1165
,6509,https://www.politifact.com/factchecks/2020/sep/01/gwen-moore/kenosha-police-did-let-kyle-rittenhouse-go-claim-g/,Social Media,Twitter,In contrast to how a Black man who was shot by police was treated; Kenosha police officers 'let an armed white supremacist walk right past them after shooting people.',Kenosha police did let Kyle Rittenhouse go; but claim goes too far in labeling his beliefs,en,PolitiFact,politifact.com,,2020-08-26T00:00:00Z,Gwen Moore,Gwen Moore,Democratic,Half True,,4 Half True,True)ish,TRUE,246
,7578,https://www.politifact.com/factchecks/2018/jul/24/tim-kaine/kaine-correct-stewart-skipped-board-meeting-campai/,Debate,Election Debate,In December of 2017; the Prince William board of supervisors had a meeting ... (Corey Stewart) skipped that meeting to go campaign in Alabama for Roy Moore to be a U.S. senator … You haven't disavowed Roy Moore's name yet.',Kaine correct that Stewart skipped board meeting to campaign for Roy Moore,en,PolitiFact,politifact.com,2018-07-24T19:33:43Z,2018-07-21T00:00:00Z,Tim Kaine,Tim Kaine,Democratic,TRUE,,6 True,True)ish,TRUE,66
,7485,http://www.politifact.com/factchecks/2017/jul/27/newt-gingrich/was-barack-obamas-best-economic-year-worse-bill-cl/,TV Appearance,FOX,In economic growth; 'Obama's best year was slower than Bill Clinton's worst year.',Was Barack Obama's best economic year worse than Bill Clinton's weakest?,en,PolitiFact,politifact.com,2017-07-27T21:06:23Z,2017-07-23T00:00:00Z,Newt Gingrich,Newt Gingrich,Republican,Mostly True,,5 Mostly True,True)ish,TRUE,186
,4702,https://www.politifact.com/factchecks/2019/may/29/justin-amash/what-counts-high-crime-or-misdemeanor-impeachment-/,Social Media,Twitter,In fact; ‘high Crimes and Misdemeanors’ is not defined in the Constitution and does not require corresponding statutory charges. The context implies conduct that violates the public trust—and that view is echoed by the Framers of the Constitution and early American scholars.',What counts as a high crime or misdemeanor for impeachment? Justin Amash got it right,en,PolitiFact,politifact.com,2019-05-29T16:22:28Z,2019-05-20T00:00:00Z,Justin Amash,Justin Amash,Republican,TRUE,,6 True,True)ish,TRUE,1887
,3512,http://www.politifact.com/factchecks/2017/mar/27/charles-schumer/does-trumps-cabinet-own-more-13-americans/,Speech/Remarks,Unspecified,In fact; if you add up the net wealth of his cabinet; it has more wealth than a third of the American people total -- close to 100 million people.',Does Donald Trump's cabinet collectively own more than what one-third of Americans do?,en,PolitiFact,politifact.com,2017-03-27T19:31:23Z,2017-03-01T00:00:00Z,Charles Schumer,Chuck Schumer,Democratic,Mostly True,,5 Mostly True,True)ish,TRUE,964
,916,https://www.politifact.com/factchecks/2020/jan/15/bernie-sanders/fact-checking-bernie-sanders-attack-florida-gov-ro/,Written Statement,,In Florida children are required to take their first standardized test within 30 days of beginning kindergarten and Gov. DeSantis wants to extend that requirement to preschoolers.',Fact-checking Bernie Sanders' attack on Florida Gov. Ron DeSantis about school tests,en,PolitiFact,politifact.com,,2020-01-13T00:00:00Z,Bernie Sanders,Bernie Sanders,Democratic,Half True,,4 Half True,True)ish,TRUE,1066
,517,http://www.politifact.com/factchecks/2015/jun/09/hillary-clinton/hillary-clinton-revisits-floridas-2000-and-2004-vo/,Speech/Remarks,Unspecified,In Florida; when Jeb Bush was governor; state authorities conducted a deeply flawed purge of voters before the presidential election in 2000' and 'in 2004 a plan to purge even more voters was headed off.',Hillary Clinton revisits Florida's 2000 and 2004 voter purge when Jeb Bush was governor,en,PolitiFact,politifact.com,2016-05-11T18:19:52Z,2015-06-04T00:00:00Z,Hillary Clinton,Hillary Clinton,Democratic,Mostly True,,5 Mostly True,True)ish,TRUE,782
,4188,http://www.politifact.com/factchecks/2018/feb/12/brian-kemp/does-25-percent-rural-georgia-lack-access-high-spe/,Written Statement,Campaign,In Georgia; '25 percent of rural residents' are 'without access to high speed internet.',Do 25 percent of rural Georgia residents lack high-speed internet?,en,PolitiFact,politifact.com,2018-02-12T15:37:03Z,2018-02-07T00:00:00Z,Brian Kemp,Brian Kemp,Republican,TRUE,,6 True,True)ish,TRUE,8
,1228,https://www.politifact.com/factchecks/2018/nov/28/alexandria-ocasio-cortez/alexandria-ocasio-cortez-wrong-about-spending-geor/,Social Media,Twitter,In her defeat of Republican Rep. Karen Handel; Democratic challenger Lucy McBath 'was outspent 5-1.',Alexandria Ocasio-Cortez wrong about spending in Georgia race,en,PolitiFact,politifact.com,2018-11-28T22:01:47Z,2018-11-19T00:00:00Z,Alexandria Ocasio-Cortez,Alexandria Ocasio-Cortez,Democratic,FALSE,,2 False,False(ish),TRUE,811
,6010,https://www.politifact.com/factchecks/2016/aug/14/paul-manafort/paul-manafort-says-clintons-tax-returns-show-incom/,TV Appearance,CNN,In Hillary Clinton's tax returns; 'you saw a lot of income coming from donors to the Clinton Foundation and people who benefitted from her State Department term as well.',Paul Manafort says Clinton's tax returns show income from foundation donors,en,PolitiFact,politifact.com,2016-08-14T21:34:38Z,2016-08-14T00:00:00Z,Paul Manafort,Paul Manafort,Republican,Half True,,4 Half True,True)ish,FALSE,182
,4275,http://www.politifact.com/factchecks/2018/jul/13/greg-abbott/greg-abbott-houston-home-more-brothels-starbucks-t/,Public Event,,In Houston; Texas; there are more brothels than there are Starbucks.',Greg Abbott says Houston is home to more brothels than Starbucks stores,en,PolitiFact,politifact.com,2018-07-13T18:40:14Z,2018-06-27T00:00:00Z,Greg Abbott,Greg Abbott,Republican,Mostly True,,5 Mostly True,True)ish,TRUE,397
,4709,https://www.politifact.com/factchecks/2020/nov/06/kevin-mccarthy/claim-about-people-re-voting-iowa-2020-election-wr/,TV Appearance,FOX,In Iowa; 'they have allowed a little over 300 people to re-vote.',Claim about people 're-voting' in Iowa 2020 election is wrong,en,PolitiFact,politifact.com,,2020-11-05T00:00:00Z,Kevin McCarthy,Kevin McCarthy (California politician),Republican,Pants on Fire,,1 Pants On Fire,False(ish),TRUE,2483
,5994,http://www.politifact.com/factchecks/2016/apr/22/robby-mook/hillary-clinton-gets-02-percent-campaign-donations/,Written Statement,,In last week’s debate; Bernie questioned Hillary’s commitment to fighting climate change because a whopping 0.2 percent of the money given to our campaign has come from employees of oil and gas companies. Not even 2 percent; mind you: 0.2 percent.',Hillary Clinton gets 0.2 percent of campaign donations from oil; gas employees; Robby Mook says,en,PolitiFact,politifact.com,2016-04-22T17:59:51Z,2016-04-19T00:00:00Z,Robby Mook,Robby Mook,Democratic,Mostly True,,5 Mostly True,True)ish,FALSE,1345
,3209,http://www.politifact.com/factchecks/2017/jul/27/anthony-scaramucci/it-felony-leak-financial-disclosure-form-anthony-s/,Social Media,Twitter,In light of the leak of my financial disclosure info which is a felony I will be contacting @FBI and the @TheJusticeDept',Is it a felony to leak a financial disclosure form; as Anthony Scaramucci said?,en,PolitiFact,politifact.com,2017-07-27T20:31:08Z,2017-07-26T00:00:00Z,Anthony Scaramucci,Anthony Scaramucci,Republican,FALSE,,2 False,False(ish),FALSE,656
,2243,https://www.politifact.com/factchecks/2020/nov/20/rudy-giuliani/giuliani-cites-affidavit-crucial-errors-press-conf/,Speech/Remarks,Press Event,In Michigan 'we have over-votes in numerous precincts of 150%; 200%; and 300%.',Giuliani cites affidavit with crucial errors in press conference During a Nov. 19 press conference,en,PolitiFact,politifact.com,,2020-11-19T00:00:00Z,Rudy Giuliani,Rudy Giuliani,Republican,Pants on Fire,,1 Pants On Fire,False(ish),TRUE,2375
,7475,http://www.politifact.com/factchecks/2018/jan/03/jeff-sessions/milwaukee-murders-are-coming-down-peak-theyre-not-/,Speech/Remarks,Press Event,In Milwaukee; 'murder is up an astonishing 57 percent.',In Milwaukee; murders are coming down from a peak; they're not up 57%; despite Jeff Sessions' claim,en,PolitiFact,politifact.com,2018-01-03T19:13:16Z,2017-12-18T00:00:00Z,Jeff Sessions,Jeff Sessions,Republican,Mostly False,,3 Mostly False,False(ish),TRUE,1053
,3269,http://www.politifact.com/factchecks/2018/apr/23/bill-hightower/1700-families-generate-80-percent-crime-mobile-ala/,Debate,Election Debate,In Mobile; it’s something like; 1;700 families generate 80 percent of the crime. We know who those families are.',Do 1;700 families generate 80 percent of crime in Mobile; Alabama?,en,PolitiFact,politifact.com,2018-04-23T15:58:39Z,2018-04-18T00:00:00Z,Bill Hightower,Bill Hightower,Republican,Half True,,4 Half True,True)ish,TRUE,1121
,1090,https://www.politifact.com/factchecks/2021/jan/08/joe-biden/joe-biden-right-more-60-trumps-election-lawsuits-l/,Speech/Remarks,Unspecified,In more than 60 cases; judges 'looked at the allegations that Trump was making and determined they were without any merit.',Joe Biden is right that more than 60 of Trump's election lawsuits lacked merit,en,PolitiFact,politifact.com,,2021-01-07T00:00:00Z,Joe Biden,Joe Biden,Democratic,TRUE,,6 True,True)ish,TRUE,1505
,2596,https://www.politifact.com/factchecks/2019/apr/24/bernie-sanders/sanders-set-firestorm-over-prisoners-voting-his-fa/,Public Event,,In my own state of Vermont; from the very first days of our state's history; what our Constitution says is that everybody can vote. That is true. So people in jail can vote.',Bernie Sanders set off a firestorm over prisoners voting; but his facts are straight,en,PolitiFact,politifact.com,2019-04-26T03:08:37Z,2019-04-22T00:00:00Z,Bernie Sanders,Bernie Sanders,Democratic,TRUE,,6 True,True)ish,TRUE,2449
,6953,https://www.politifact.com/factchecks/2018/jul/25/alexandria-ocasio-cortez/ocasio-cortez-new-york-city-there-are-3-vacant-apa/,Social Media,Twitter,In New York City; 'for every one person experiencing homelessness here; there are about three vacant apartments.',Ocasio-Cortez: In New York City; there are 3 vacant apartments for each homeless person,en,PolitiFact,politifact.com,2018-07-25T18:28:28Z,2018-07-23T00:00:00Z,Alexandria Ocasio-Cortez,Alexandria Ocasio-Cortez,Democratic,Mostly True,,5 Mostly True,True)ish,TRUE,1830
,6578,http://www.politifact.com/factchecks/2017/mar/31/chris-collins/new-york-law-prohibits-higher-health-insurance-pre/,Public Event,,In New York state; 'you cannot charge an older person even one dollar more than a younger person' for health insurance.,New York state prohibits higher health insurance premiums for older residents,en,PolitiFact,politifact.com,2017-03-31T14:55:15Z,2017-03-16T00:00:00Z,Chris Collins,Chris Collins (New York politician),Republican,TRUE,,6 True,True)ish,TRUE,974
,1345,http://www.politifact.com/factchecks/2017/jan/05/andrew-cuomo/college-graduates-new-york-owe-about-30000-average/,Speech/Remarks,Unspecified,In New York; 'Average college debt - $30;000 per student.',College graduates in New York owe about $30;000 in student loans on average,en,PolitiFact,politifact.com,2017-01-05T21:55:29Z,2016-01-03T00:00:00Z,Andrew Cuomo,Andrew Cuomo,Democratic,TRUE,,6 True,True)ish,TRUE,2124
,2698,https://www.politifact.com/factchecks/2019/dec/19/doug-collins/doug-collins-repeats-false-claim-about-pelosis-let/,Speech/Remarks,Unspecified,In November 2019; Speaker Pelosi said it would be ‘dangerous’ to leave it to voters to determine whether President Trump stays in office.',Doug Collins repeats a false claim about Pelosi's letter on impeachment,en,PolitiFact,politifact.com,,2019-12-18T00:00:00Z,Doug Collins,Doug Collins (politician),Republican,FALSE,,2 False,False(ish),TRUE,1673
,7558,http://www.politifact.com/factchecks/2016/jun/10/joyce-beatty/thousand-child-sex-trafficking-victims-yearly-ohio/,Speech/Remarks,Press Event,In Ohio; 'each year an estimated 1;000 children become victims of human trafficking; and over 3;000 more are at risk.',A thousand child sex-trafficking victims yearly in Ohio? Nope,en,PolitiFact,politifact.com,2016-06-10T15:36:52Z,2016-05-25T00:00:00Z,Joyce Beatty,Joyce Beatty,Democratic,Mostly False,,3 Mostly False,False(ish),TRUE,430
,4927,http://www.politifact.com/factchecks/2017/jul/17/mike-pence/pence-falsely-ties-medicaid-expansion-disability-w/,Speech/Remarks,Unspecified,In Ohio; due to Medicaid expansion; 'nearly 60;000 disabled citizens are stuck on waiting lists ... leaving them without the care they need for months or even years.',Mike Pence falsely blames Medicaid expansion for disability waiting list in Ohio,en,PolitiFact,politifact.com,2017-07-17T12:47:19Z,2017-07-14T00:00:00Z,Mike Pence,Mike Pence,Republican,FALSE,,2 False,False(ish),TRUE,815
,3876,http://www.politifact.com/factchecks/2018/jan/25/ron-desantis/fact-checking-rep-ron-desantis-claim-about-uns-tre/,Speech/Remarks,Unspecified,In one year; the United Nations 'did 24 resolutions and 20 of them were against Israel.',DeSantis wrong about UN resolutions against Israel,en,PolitiFact,politifact.com,2018-01-25T14:08:57Z,2018-01-11T00:00:00Z,Ron DeSantis,Ron DeSantis,Republican,FALSE,,2 False,False(ish),TRUE,2454
,3291,http://www.politifact.com/factchecks/2017/jul/27/marco-rubio/marco-rubio-says-florida-mandates-coverage-more-co/,Speech/Remarks,Unspecified,In order to sell insurance in Florida there are over 40 separate individual conditions that must be covered. ... far beyond the essential health benefits included in Obamacare.',Marco Rubio says Florida mandates coverage of more conditions than Obamacare,en,PolitiFact,politifact.com,2017-07-27T18:41:26Z,2017-07-20T00:00:00Z,Marco Rubio,Marco Rubio,Republican,Mostly False,,3 Mostly False,False(ish),TRUE,2164
,4305,http://www.politifact.com/factchecks/2016/oct/07/gina-raimondo/limited-data-support-gina-raimondos-claim-motorist/,TV Appearance,Regional Station,In other states (where illegal immigrants have been allowed to get driver's licenses) their insurance premiums for everybody have gone down.',Limited data support Gina Raimondo's claim that motorists save when illegal immigrants get licenses,en,PolitiFact,politifact.com,2016-10-07T14:45:28Z,2016-09-28T00:00:00Z,Gina Raimondo,Gina Raimondo,Democratic,Mostly True,,5 Mostly True,True)ish,TRUE,1209
,5264,https://www.politifact.com/factchecks/2018/oct/31/mark-harris/dan-mccready-hasnt-said-hed-impeach-trump/,Social Media,Twitter,In our debate; Dan McCready doubled down on his support for Pelosi’s liberal agenda of … impeaching our president.',Dan McCready hasn't said he'd impeach Trump,en,PolitiFact,politifact.com,2018-10-31T19:55:44Z,2018-10-10T00:00:00Z,Mark Harris,Mark Harris (North Carolina politician),Republican,FALSE,,2 False,False(ish),TRUE,1047
,7468,http://www.politifact.com/factchecks/2017/mar/20/devin-nunes/devin-nunes-oversimplifies-timeline-obama-reset-ru/,Speech/Remarks,Unspecified,In recent years ... the Obama administration was committed to the notion; against all evidence; that we could reset relations with Putin.',Devin Nunes oversimplifies timeline of Obama 'reset' with Russia,en,PolitiFact,politifact.com,2017-03-21T13:36:43Z,2017-03-20T00:00:00Z,Devin Nunes,Devin Nunes,Republican,Half True,,4 Half True,True)ish,TRUE,369
,4126,http://www.politifact.com/factchecks/2018/may/10/gavin-newsom/did-gavin-newsom-help-san-francisco-reduce-its-hom/,Debate,Election Debate,In San Francisco; we were successful in reducing our street population 40 percent. We got 12;000 people off the street.',Gavin Newsom's Half True claim on reducing San Francisco's homeless 'street population',en,PolitiFact,politifact.com,2018-05-10T21:21:10Z,2018-05-08T00:00:00Z,Gavin Newsom,Gavin Newsom,Democratic,Half True,,4 Half True,True)ish,TRUE,749
,1081,http://www.politifact.com/factchecks/2017/may/08/thomas-croci/some-sex-offenders-will-be-allowed-drive-uber-and-/,Written Statement,Press Release,In some cases; a sex offender 'who appears on the New York State Sex Offender Registry' would be able to drive for Uber or Lyft when ride-hailing is allowed upstate in July,Some sex offenders will be allowed to drive for Uber and Lyft,en,PolitiFact,politifact.com,2017-05-08T21:30:35Z,2017-04-27T00:00:00Z,Thomas Croci,Thomas Croci,Republican,TRUE,,6 True,True)ish,TRUE,1125
